Subject,TrialIndex,AttendedEar,TargetWav,InterfererWav,EEGFile,OriginalMat
S1,0,R,part1_track1_dry.wav,part1_track2_dry.wav,S1Tra1.npy,S1.mat
S1,1,L,part2_track1_dry.wav,part2_track2_dry.wav,S1Tra2.npy,S1.mat
S1,2,R,part3_track1_dry.wav,part3_track2_dry.wav,S1Tra3.npy,S1.mat
S1,3,L,part4_track1_dry.wav,part4_track2_dry.wav,S1Tra4.npy,S1.mat
S1,4,R,part1_track2_dry.wav,part1_track1_dry.wav,S1Tra5.npy,S1.mat
S1,5,L,part2_track2_dry.wav,part2_track1_dry.wav,S1Tra6.npy,S1.mat
S1,6,R,part3_track2_dry.wav,part3_track1_dry.wav,S1Tra7.npy,S1.mat
S1,7,L,part4_track2_dry.wav,part4_track1_dry.wav,S1Tra8.npy,S1.mat
S1,8,R,rep_part1_track1_dry.wav,rep_part1_track2_dry.wav,S1Tra9.npy,S1.mat
S1,9,L,rep_part2_track1_dry.wav,rep_part2_track2_dry.wav,S1Tra10.npy,S1.mat
S1,10,R,rep_part3_track1_dry.wav,rep_part3_track2_dry.wav,S1Tra11.npy,S1.mat
S1,11,L,rep_part4_track1_dry.wav,rep_part4_track2_dry.wav,S1Tra12.npy,S1.mat
S1,12,R,rep_part1_track1_dry.wav,rep_part1_track2_dry.wav,S1Tra13.npy,S1.mat
S1,13,L,rep_part2_track1_dry.wav,rep_part2_track2_dry.wav,S1Tra14.npy,S1.mat
S1,14,R,rep_part3_track1_dry.wav,rep_part3_track2_dry.wav,S1Tra15.npy,S1.mat
S1,15,L,rep_part4_track1_dry.wav,rep_part4_track2_dry.wav,S1Tra16.npy,S1.mat
S1,16,R,rep_part1_track1_dry.wav,rep_part1_track2_dry.wav,S1Tra17.npy,S1.mat
S1,17,L,rep_part2_track1_dry.wav,rep_part2_track2_dry.wav,S1Tra18.npy,S1.mat
S1,18,R,rep_part3_track1_dry.wav,rep_part3_track2_dry.wav,S1Tra19.npy,S1.mat
